2023-11-15 22:19:50.2828|Microsoft.AspNetCore.Hosting.Diagnostics|INFO|Request starting HTTP/2 GET https://localhost:7255/swagger/index.html - - 
2023-11-15 22:19:50.3632|Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware|DEBUG|Wildcard detected, all requests with hosts will be allowed. 
2023-11-15 22:19:50.3632|Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware|TRACE|All hosts are allowed. 
2023-11-15 22:19:50.3930|Microsoft.AspNetCore.Routing.Matching.DfaMatcher|DEBUG|No candidates found for the request path '/swagger/index.html' 
2023-11-15 22:19:50.3930|Microsoft.AspNetCore.Routing.EndpointRoutingMiddleware|DEBUG|Request did not match any endpoints 
2023-11-15 22:19:50.6781|Microsoft.AspNetCore.Watch.BrowserRefresh.BrowserRefreshMiddleware|DEBUG|Response markup is scheduled to include browser refresh script injection. 
2023-11-15 22:19:50.7309|Microsoft.AspNetCore.Server.Kestrel.Http2|TRACE|Connection id "0HMV5SNMN2ISV" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS. 
2023-11-15 22:19:50.9425|Microsoft.AspNetCore.Server.Kestrel.Http2|TRACE|Connection id "0HMV5SNMN2ISV" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2023-11-15 22:19:50.9425|Microsoft.AspNetCore.Server.Kestrel.Http2|TRACE|Connection id "0HMV5SNMN2ISV" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2023-11-15 22:19:50.9425|Microsoft.AspNetCore.Server.Kestrel.Http2|TRACE|Connection id "0HMV5SNMN2ISV" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2023-11-15 22:19:50.9425|Microsoft.AspNetCore.Server.Kestrel.Http2|TRACE|Connection id "0HMV5SNMN2ISV" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2023-11-15 22:19:50.9425|Microsoft.AspNetCore.Server.Kestrel.Http2|TRACE|Connection id "0HMV5SNMN2ISV" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2023-11-15 22:19:50.9425|Microsoft.AspNetCore.Server.Kestrel.Http2|TRACE|Connection id "0HMV5SNMN2ISV" sending DATA frame for stream ID 1 with length 49 and flags NONE. 
2023-11-15 22:19:50.9425|Microsoft.AspNetCore.Server.Kestrel.Http2|TRACE|Connection id "0HMV5SNMN2ISV" sending DATA frame for stream ID 1 with length 65 and flags NONE. 
2023-11-15 22:19:50.9425|Microsoft.AspNetCore.Server.Kestrel.Http2|TRACE|Connection id "0HMV5SNMN2ISV" sending DATA frame for stream ID 1 with length 16 and flags NONE. 
2023-11-15 22:19:50.9425|Microsoft.AspNetCore.Watch.BrowserRefresh.BrowserRefreshMiddleware|DEBUG|Response markup was updated to include browser refresh script injection. 
2023-11-15 22:19:50.9539|Microsoft.AspNetCore.Server.Kestrel.Http2|TRACE|Connection id "0HMV5SNMN2ISV" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM. 
2023-11-15 22:19:50.9539|Microsoft.AspNetCore.Hosting.Diagnostics|INFO|Request finished HTTP/2 GET https://localhost:7255/swagger/index.html - - - 200 - text/html;charset=utf-8 675.4895ms 
2023-11-15 22:19:50.9539|Microsoft.AspNetCore.Server.Kestrel.Http2|TRACE|Connection id "0HMV5SNMN2ISV" received HEADERS frame for stream ID 3 with length 109 and flags END_STREAM, END_HEADERS, PRIORITY. 
2023-11-15 22:19:50.9539|Microsoft.AspNetCore.Hosting.Diagnostics|INFO|Request starting HTTP/2 GET https://localhost:7255/_framework/aspnetcore-browser-refresh.js - - 
2023-11-15 22:19:50.9539|Microsoft.AspNetCore.Server.Kestrel.Http2|TRACE|Connection id "0HMV5SNMN2ISV" sending HEADERS frame for stream ID 3 with length 90 and flags END_HEADERS. 
2023-11-15 22:19:50.9701|Microsoft.AspNetCore.Server.Kestrel.Http2|TRACE|Connection id "0HMV5SNMN2ISV" sending DATA frame for stream ID 3 with length 12340 and flags NONE. 
2023-11-15 22:19:50.9701|Microsoft.AspNetCore.Server.Kestrel.Http2|TRACE|Connection id "0HMV5SNMN2ISV" sending DATA frame for stream ID 3 with length 0 and flags END_STREAM. 
2023-11-15 22:19:50.9701|Microsoft.AspNetCore.Hosting.Diagnostics|INFO|Request finished HTTP/2 GET https://localhost:7255/_framework/aspnetcore-browser-refresh.js - - - 200 12340 application/javascript;+charset=utf-8 10.4068ms 
2023-11-15 22:19:50.9701|Microsoft.AspNetCore.Server.Kestrel.Http2|TRACE|Connection id "0HMV5SNMN2ISV" received HEADERS frame for stream ID 5 with length 57 and flags END_STREAM, END_HEADERS, PRIORITY. 
2023-11-15 22:19:50.9701|Microsoft.AspNetCore.Hosting.Diagnostics|INFO|Request starting HTTP/2 GET https://localhost:7255/_vs/browserLink - - 
2023-11-15 22:19:51.0229|Microsoft.AspNetCore.Server.Kestrel.Http2|TRACE|Connection id "0HMV5SNMN2ISV" sending HEADERS frame for stream ID 5 with length 119 and flags END_HEADERS. 
2023-11-15 22:19:51.0229|Microsoft.AspNetCore.Server.Kestrel.Http2|TRACE|Connection id "0HMV5SNMN2ISV" sending DATA frame for stream ID 5 with length 9986 and flags NONE. 
